standard_whisky_name,korean_name
Ben Nevis 12 Year Old (The Whisky Tales),벤네비스 12년 (위스키 테일즈)
BenRiach The Original 10 Year Old,벤리아크 오리지널 10년
Benriach (Unspecified),벤리아크
Benriach 12 Year Old,벤리아크 12년
Benromach (Unspecified),벤로맥스
Benromach 10 Year Old,벤로맥스 10년
Benromach 12 Year Old,벤로맥스 12년
Benromach 15 Year Old,벤로맥스 15년
Benromach 21 Year Old,벤로맥스 21년
Benromach Cask Strength (Unspecified),벤로맥스 캐스크 스트렝스
Black & White,블랙 앤 화이트
Black Circle (Unspecified),블랙 서클
Black Circle MAX,블랙 서클 맥스
Black Nikka Rich Blend,블랙 닛카 리치 블렌드
Black Nikka Special,블랙 닛카 스페셜
Bladnoch 16 Year Old Oloroso Sherry Cask,블라드녹 16년 올로로소 셰리 캐스크
Blair Athol (Unspecified),블레어 아톨
Blanton's (Unspecified),블랑톤
Blanton's Gold,블랑톤 골드
Blanton's Master Class Single Barrel,블랑톤 마스터 클래스 싱글 배럴
Blanton's Single Barrel,블랑톤 싱글 배럴
Blanton's Straight From The Barrel,블랑톤 스트레이트 프롬 더 배럴 (SFTB)
Booker's (Unspecified),부커스
Booker's 2026-01E,부커스 2026-01E
Bowmore (Unspecified),보모어
Bowmore 12 Year Old,보모어 12년
Bowmore 15 Year Old,보모어 15년
Bowmore 16 Year Old Ruby Port,보모어 16년 루비 포트
Bowmore 18 Year Old,보모어 18년
Bowmore 21 Year Old Aston Martin Masters Selection,보모어 21년 애스턴 마틴 마스터즈 셀렉션
Braeval The Whisky Agency,브래발 위스키 에이전시
Buffalo Trace (Unspecified),버팔로 트레이스
Bulleit Bourbon 10 Year Old,불렛 버번 10년
Bulleit Rye,불렛 라이
Bunnahabhain (Unspecified),부나하벤
Bunnahabhain 12 Year Old,부나하벤 12년
Bushmills (Unspecified),부쉬밀
Cadenhead's (Unspecified),케덴헤드
Cadenhead's An Orkney 6 Year Old,케덴헤드 오크니 6년
Campbeltown Loch,캠벨타운 로크
Canadian Club (Unspecified),캐나디안 클럽
Caol Ila (Unspecified),쿨일라
Caol Ila 12 Year Old,쿨일라 12년
Chivas Regal (Unspecified),시바스 리갈
Chivas Regal 12 Year Old,시바스 리갈 12년
Chivas Regal 13 Year Old,시바스 리갈 13년
Chivas Regal 13 Year Old Mizunara,시바스 리갈 13년 미즈나라
Chivas Regal 15 Year Old,시바스 리갈 15년
Chivas Regal 18 Year Old,시바스 리갈 18년
Chivas Regal 18 Year Old Mizunara,시바스 리갈 18년 미즈나라
Chivas Regal Mizunara,시바스 리갈 미즈나라
Clubman Reserve (Unspecified),클럽맨 리저브
Clydebuilt 12 Year Old Sherry Cask 100 Proof,클라이드빌트 12년 셰리 캐스크 100 프루프
Clynelish (Unspecified),클라인리시
Clynelish 14 Year Old,클라인리시 14년
Compass Box (Unspecified),컴패스 박스
Cooley (Unspecified),쿨리
Cutty Sark (Unspecified),커티샥
Cutty Sark Prohibition Edition,커티샥 프로히비션
Daftmill 2011 Winter Batch,다프트밀 2011 윈터 배치
Dalmore (Unspecified),달모어
Dalmore 13 Year Old,달모어 13년
Dalmore 16 Year Old,달모어 16년
Dalmore Cigar Malt Reserve,달모어 시가 몰트 리저브
Dalmore King Alexander III,달모어 킹알렉산더 3세
Dalwhinnie 15 Year Old,달위니 15년
Deanston (Unspecified),딘스톤
Dewar's (Unspecified),듀어스
Dewar's 12 Year Old,듀어스 12년
Dewar's 18 Year Old,듀어스 18년
Dewar's Double Agent 16 Year Old,듀어스 더블 에이전트 16년
Dewar's Double Double 21 Year Old,듀어스 더블더블 21년
Dewar's White Label,듀어스 화이트라벨
Dufftown 12 Year Old,더프타운 12년
Eagle Rare (Unspecified),이글레어
Eagle Rare 10 Year Old,이글레어 10년
Early Times,얼리 타임즈
Edradour (Unspecified),에드라두어
Edradour 12 Year Old Oloroso Sherry Butts,에드라두어 12년 올로로소 셰리 버트
Edradour 12 Year Old Oloroso Sherry Butts Batch 7,에드라두어 12년 올로로소 셰리 버트 배치 7
Edradour No.2 Inaugural Release 7 Year Old,에드라두어 NO.2 이노구럴 릴리즈 7년
Elements of Islay (Unspecified),엘리먼츠 오브 아일라
Elements of Islay Peat,엘리먼츠 오브 아일라 피트
Elgin Cask (Unspecified),엘긴 캐스크
Elijah Craig Straight Rye,일라이자 크레이그 스트레이트 라이
Evan Williams Black,에반 윌리엄스 블랙
Fercullen (Unspecified),퍼컬렌
Fettercairn (Unspecified),페터케언
Finlaggan Cask Strength,핀라간 캐스크 스트렝스
Four Roses (Unspecified),포로지스
Four Roses Single Barrel,포로지스 싱글배럴
Fuji Single Malt,후지 싱글몰트
George Remus (Unspecified),조지 레무스
Gillie Dhu Whisky (Unspecified),질리 두
Gillies More Scotch Whisky,길리즈 모어
Glen Ciel,글렌 씰
Glen Garioch 15 Year Old,글렌가리오흐 15년
Glen Garioch 15 Year Old Cask Strength,글렌가리오흐 15년 캐스크 스트렝스
Glen Grant (Unspecified),글렌그란트
Glen Grant 10 Year Old,글렌그란트 10년
Glen Grant 12 Year Old,글렌그란트 12년
Glen Grant 15 Year Old Batch Strength,글렌그란트 15년 배치 스트렝스
Glen Grant 18 Year Old,글렌그란트 18년
Glen Grant Arboralis Cask Strength,글렌그란트 아보랄리스 캐스크 스트렝스
Glen Moray,글렌모레이
Glen Scotia 12 Year Old,글렌스코시아 12년
Glen Scotia Double Cask,글렌스코시아 더블캐스크
Glen Scotia Victoriana,글렌스코시아 빅토리아나
Glen Scotia Victoriana Cask Strength,글렌스코시아 빅토리아나 캐스크 스트렝스
GlenDronach 200th Anniversary Boynsmill House Edition 14 Year Old,글렌드로낙 200주년 보인스밀 하우스 14년
Glenallachie 17,글렌알라키 17년
Glenallachie 18,글렌알라키 18년
Glenallachie 25,글렌알라키 25년
Glenallachie 8,글렌알라키 8년
Glenallachie 9 Year Old,글렌알라키 9년
Glencadam (Unspecified),글렌카담
Glencadam 15 Year Old,글렌카담 15년
Glendronach 1993 30 Year Old,글렌드로낙 1993 30년
Glendronach Cask Strength (Unspecified),글렌드로낙 캐스크 스트렝스
Glenfarclas 10 Year Old Cask Strength,글렌파클라스 10년 캐스크 스트렝스
Glenfarclas 105,글렌파클라스 105
Glenfarclas 12 Year Old,글렌파클라스 12년
Glenfarclas 15 Year Old,글렌파클라스 15년
Glenfiddich (Unspecified),글렌피딕
Glenfiddich 14 Year Old Bourbon Barrel,글렌피딕 14년 버본 배럴
Glenfiddich 14 Year Old Bourbon Barrel Reserve,글렌피딕 14년 버본 배럴 리저브
Glenfiddich 15 Solera,글렌피딕 15년 솔레라
Glenfiddich 15 Year Old,글렌피딕 15년
Glenfiddich 16 Year Old Aston Martin F1 Limited Edition Release 2,글렌피딕 16년 애스턴 마틴 F1 한정판 릴리즈 2
Glenfiddich 18 Year Old,글렌피딕 18년
Glenfiddich 21 Gran Reserva,글렌피딕 21년 그란 레세르바
Glenfiddich 22 Gran Cortes,글렌피딕 22년 그란 코르테스
Glenfiddich 26 Grand Couronne,글렌피딕 26년 그랑 쿠론
Glenfiddich 30,글렌피딕 30년
Glenfiddich Gran Reserva 21 Year Old,글렌피딕 그란 레세르바 21년
Glenfiddich Grand Cortes,글렌피딕 그랑 코르테스
Glenfiddich Perpetual Collection,글렌피딕 퍼페추얼 컬렉션
Glenglassaugh Sandend,글렌글라사 샌드엔드
Glengoyne (Unspecified),글렌고인
Glengoyne 10 Year Old,글렌고인 10년
Glengoyne 30 Year Old,글렌고인 30년
Glenmorangie 10 Year Old Original,글렌모렌지 10년 오리지널
Glenmorangie Lasanta 12 Year Old,글렌모렌지 라산타 12년
Glenmorangie Quinta Ruban 14 Year Old,글렌모렌지 퀸타 루반 14년
Glenmorangie Signet,글렌모렌지 시그넷
Glenmorangie The Nectar 16 Year Old,글렌모렌지 넥타 16년
Glenmorangie The Original 12 Year Old,글렌모렌지 오리지널 12년
Glenrothes (Unspecified),글렌로데스
Glenrothes 15 Year Old,글렌로데스 15년
Glenturret (Unspecified),글렌터렛
Glenturret 15 Year Old,글렌터렛 15년
Gold Win Whisky,골드윈 위스키
Gordon & MacPhail (Unspecified),고든앤맥페일
Grant's Triple Wood,그랜트 트리플 우드
Hakkushu 18 Year Old,하쿠슈 18년
Hakushu (NAS),하쿠슈 NAS
Hakushu (Unspecified),하쿠슈
Hakushu 12 Year Old,하쿠슈 12년
Hakushu 18 Year Old,하쿠슈 18년
Hakushu Kogei (Unspecified),하쿠슈 코게이
Hakushu Kogei 2024 Edition,하쿠슈 코게이 2024 에디션
Hazelburn (Unspecified),헤이즐번
Hennessy VSOP,헤네시 VSOP
Hibiki (Unspecified),히비키
Hibiki 12 Year Old,히비키 12년
Hibiki 21 Year Old,히비키 21년
Hibiki 30 Year Old,히비키 30년
Hibiki Blender's Choice,히비키 블렌더스 초이스
Highland Park (Unspecified),하이랜드 파크
Highland Park 12 Year Old,하이랜드 파크 12년
Highland Park 12 Year Old Viking Honour,하이랜드 파크 12년 바이킹 아너
Highland Park 25 Year Old,하이랜드 파크 25년
Hinotori (Unspecified),히노토리
Huntly (Unspecified),헌틀리
Illeach Cask Strength,일렉 캐스크 스트렝스
Ilpum Jinro Oak 43,일품진로 오크 43
Inchfad,인치패드
Inchgower,인치고어
Islay (Unspecified),아일라
Islay Boys (Unspecified),아일라 보이즈
Isle of Raasay 7 Year Old,아일 오브 라사이 7년
Kavalan Solist Brandy Cask Single Cask Strength,카발란 브랜디
Kavalan Solist Colheita Port Cask Single Cask Strength,카발란 콜레이타 포트
Kavalan Solist Fino Sherry Single Cask Strength,카발란 피노
Kavalan Solist Madeira Wine Cask Single Cask Strength,카발란 마데이라
Kavalan Solist Manzanilla Sherry Single Cask Strength,카발란 만자닐라
Kavalan Solist Moscatel Sherry Single Cask Strength,카발란 모스카텔
Kavalan Solist Oloroso Sherry Single Cask Strength,카발란 올로로소
Kavalan Solist PX Sherry Single Cask Strength,카발란 PX
Kavalan Solist Palo Cortado Sherry Single Cask Strength,카발란 팔로 코르타도
Kavalan Solist Port Cask Single Cask Strength,카발란 포트
Kavalan Solist Sherry Cask Single Cask Strength,카발란 쉐리
Kavalan Solist Vinho Barrique Single Cask Strength,카발란 비노 바리끄
Kavalan Solist Virgin American Oak Single Cask Strength,카발란 버진 오크
Kavalan Solist ex-Bourbon Cask Single Cask Strength,카발란 범용 버번
Kavalan Triple Sherry Cask,카발란 트리플 쉐리
Ki No Bi Kyoto Dry Gin,키노비 진
Ki One,기원
Ki One Distillery,기원 증류소
Ki One Hawaii Edition,기원 하와이 에디션
Ki One Single Malt,기원 싱글몰트
Ki One Tiger Edition PX Sherry Cask,기원 호랑이 에디션 PX
Kilchoman (Unspecified),킬호만
Kilchoman Machir Bay,킬호만 마키어 베이
Kilchoman Sanaig,킬호만 사나이그
Kilchoman Sanaig Cask Strength,킬호만 사나이그 캐스크 스트렝스
Kilkerran 16 Year Old,킬커란 16년
Kilkerran 8 Year Old Bourbon Cask Cask Strength,킬커란 8년 버번 캐스크 CS
Kilkerran 8 Year Old Sherry Cask Cask Strength,킬커란 8년 셰리 캐스크 CS
Hazelburn 10 Year Old,헤이즐번 10년
King Charles Scotch Whisky,킹 찰스
Kirin Whisky Riku (Unspecified),기린 위스키 리쿠
Kirkland Signature (Unspecified),커클랜드
Kirkland Signature Bourbon,커클랜드 버번
Knob Creek (Unspecified),놉 크릭
Label 5 (Unspecified),라벨 5
Lagavulin (Unspecified),라가불린
Lagavulin 12 Year Old Special Release,라가불린 12년 SR
Lagavulin 16 Year Old,라가불린 16년
Lagavulin 8 Year Old,라가불린 8년
Lambay Single Malt Irish Whiskey,람베이 싱글몰트
Langs Blended Scotch Whisky,랭스
Laphroaig Select (Oak Select),라프로익 셀렉트
Limavady Single Malt Irish Whiskey,리마바디 싱글몰트
Linkwood,링크우드
Loch Lomond (Unspecified),로크로몬드
Loch Lomond Original,로크로몬드 오리지널
Longmorn 18 Year Old,롱모른 18년
Longmorn 18 Year Old Cask Strength,롱모른 18년 캐스크 스트렝스
Longrow Peated,롱로우 피티드
Luzhou Laojiao,노주노교
Mac-Talla (Unspecified),맥탈라
Macallan (Unspecified),맥캘란
Macallan 12 Year Old Double Cask,맥캘란 12년 더블캐스크
Macallan 15 Year Old Double Cask,맥캘란 15년 더블캐스크
Macallan 18 Sherry Oak,맥캘란 18년 셰리캐스크
Macallan 18 Year Old,맥캘란 18년
Macallan 18 Year Old Double Cask,맥캘란 18년 더블캐스크
Macallan 30 Year Old Sherry Oak,맥캘란 30년 셰리캐스크
Macallan Enigma,맥캘란 이니그마
Macallan Harmony Collection,맥캘란 하모니 컬렉션
Macallan Lalique,맥캘란 라릭
Macallan Rare Cask,맥캘란 레어캐스크
Makers Mark,메이커스 마크
Mars (Unspecified),마스
Mars Tsunuki 2025 Edition,마스 츠누키 2025 에디션
Michter's (Unspecified),믹터스
Michter's US*1 Small Batch Bourbon,믹터스 US*1 스몰배치 버번
Midai Black,미다이 블랙
Midai Whisky,미다이 위스키
Milk & Honey (Unspecified),밀크앤허니
Miyagikyo Single Malt,미야기쿄 싱글몰트
Miyazaki Sunpiece Extra Gold 600ml,미야자키 선피스 엑스트라 골드 600ml
Monkey Shoulder,몽키 숄더
Mortlach (Unspecified),모르락
Mr. Boston Blended Scotch Whisky,미스터 보스턴 블렌디드 스카치 위스키
Mr. Boston Straight Bourbon,미스터 보스턴 스트레이트 버번
Naked Malt,네이키드 몰트
Nikka (Unspecified),니카
Nikka From The Barrel,니카 프롬 더 배럴
Nikka Frontier,니카 프론티어
Nikka Miyagikyo Single Malt,니카 미야기쿄 싱글몰트
Nikka Session,니카 세션
Nikka Single Malt Miyagikyo,니카 미야기쿄 싱글몰트
Nikka Single Malt Yoichi,니카 요이치 싱글몰트
Nikka Taketsuru Pure Malt,다케츠루 퓨어몰트
Nikka Yoichi Single Malt,니카 요이치 싱글몰트
Noah's Mill,노아스 밀
Nuri Mizunara Cask Red Horse Edition,누리 미즈나라 캐스크 레드 호스 에디션
Oakzen,오크젠
Oban 14 Year Old,오반 14년
Octomore 14.1,옥토모어 14.1
Old Fitzgerald (Unspecified),올드 피츠제럴드
Old Forester (Unspecified),올드 포레스터
Old Parr (Unspecified),올드 파
Old Parr 12 Year Old,올드 파 12년
Old Perth (Unspecified),올드 퍼스
Old Pulteney 12 Year Old,올드 풀튼 12년
Omar Single Malt Bourbon Cask,오마르 싱글몰트 버번 캐스크
Pangquan Q3,방권 Q3
Paul John (Unspecified),폴 존
Penelope (Unspecified),페넬로페
Penelope Four Grain,페넬로페 포 그레인
Rasta Morris Washpark 17 Year Old,라스타 모리스 워시파크 17년
Rebel Kentucky Straight Bourbon Cabernet Sauvignon Barrel Finish 100 Proof,레벨 카베르네 소 블렌드 피니시 100프루프
Redbreast (Unspecified),레드브레스
Redbreast 12 Year Old,레드브레스 12년
Richard Hennessy,리차드 헤네시
Royal Brackla (Unspecified),로얄 브라클라
Royal Brackla 12 Year Old,로얄 브라클라 12년
Royal Salute (Unspecified),로얄 살루트
Royal Salute 21,로얄 살루트 21년
Royal Salute 23 Year Old Taiwan Exclusive,로얄 살루트 23년 대만 익스클루시브
Russell's Reserve (Unspecified),러셀 리저브
Russell's Reserve 10 Year Old,러셀 10년
Russell's Reserve 13 Year Old Barrel Proof (2025 Release),러셀 13년 배럴 프루프 (2025 릴리즈)
Russell's Reserve 6 Year Old Rye,러셀 6년 라이
Russell's Reserve Single Barrel,러셀 싱글 배럴
Russell's Reserve Single Barrel Rye,러셀 리저브 싱글 배럴 라이
Ryuka Single Malt 3 Year Old 2026 Early Summer,류카 싱글몰트 3년 2026 얼리 서머
Sagamore Spirit (Unspecified),사가모어 스피릿
Sakurao Single Malt,사쿠라오 싱글몰트
Samhain (Unspecified),삼하인
Sanrosu (Unspecified),산로수
Scotch Blue (Unspecified),스카치블루
Scotch Blue 17 Year Old,스카치블루 17년
Scotch Blue 21 Year Old,스카치블루 21년
Signatory 2009 Speyside 16 Year Old,시그나토리 2009 스페이사이드 16년
Signatory 2009 Speyside 16 Year Old 100 Proof Exceptional Cask #13,시그나토리 2009 스페이사이드 16년 100프루프 익셉셔널 캐스크 #13
Signatory Vintage (Unspecified),시그나토리 빈티지
Signatory Vintage Speyside (M) 2009 16 Year Old 100 Proof,시그나토리 빈티지 스페이사이드 (맥캘란) 2009 16년 100프루프
Singleton,싱글톤
Speyburn 10 Year Old,스페이번 10년
Speyburn Bourbon Cask,스페이번 버번 캐스크
Speyburn Sherry Cask Finish,스페이번 셰리 캐스크 피니시
Springbank 10 Year Old,스프링뱅크 10년
Springbank 12 Year Old Cask Strength Batch 20,스프링뱅크 12년 캐스크 스트렝스 배치 20
Springbank 18 Year Old,스프링뱅크 18년
Springbank Local Barley (Unspecified),스프링뱅크 로컬 발리
Starward Solera,스타워드 솔레라
Stauning,스타우닝
Suntory Kakubin,산토리 가쿠빈
Suntory Old,산토리 올드
Suntory Old Whisky,산토리 올드 위스키
Suntory Royal Whisky,산토리 로얄
Suntory Special Reserve,산토리 스페셜 리저브
Suntory Sui Gin,산토리 스이 진
Suntory Whisky,산토리 위스키
Suntory Yamazaki Single Malt Non Vintage,야마자키 NAS
Talisker (Unspecified),탈리스커
Talisker 10 Year Old,탈리스커 10년
Talisker 18 Year Old,탈리스커 18년
Talisker Distillers Edition,탈리스커 디스틸러스 에디션
Talisker Port Ruighe,탈리스커 포트루이
Talisker Storm,탈리스커 스톰
Tamdhu (Unspecified),탐두
Tamdhu 18 Year Old,탐두 18년
Tamnavulin (Unspecified),탐나불린
Tamnavulin Double Cask,탐나불린 더블캐스크
Tamnavulin German Pinot Noir Cask Finish,탐나불린 저먼 피노누아 캐스크 피니시
Tamnavulin Oloroso Cask Edition,탐나불린 올로로소 캐스크 에디션
Tamnavulin Sauvignon Blanc Cask Finish,탐나불린 소비뇽 블랑 캐스크 피니시
Tamnavulin Sherry Cask Edition,탐나불린 셰리 캐스크 에디션
Tamnavulin Sherry Cask Finish,탐나불린 셰리 캐스크 피니시
Tamnavulin White Wine Sauvignon Blanc Cask,탐나불린 화이트 와인 소비뇽 블랑 캐스크
Tatratea 72% Outlaw,타트라티 72 아웃법
Teacher's Highland Cream,티쳐스 하이랜드 크림
Teeling (Unspecified),틸링
Teeling Single Grain,틸링 싱글 그레인
Teeling Small Batch,틸링 스몰배치
The Balvenie The Creation of a Classic,발베니 디 크리에이션 오브 어 클래식
The Dalmore 12 Year Old,달모어 12년
The Dalmore 16 Year Old PX Cask,달모어 16년 PX 캐스크
The Dalmore 17 Year Old,달모어 17년
The Famous Grouse (Unspecified),페이머스 그라우스
The Glen Grant 12 Year Old,글렌그란트 12년
The Glen Grant 15 Year Old,글렌그란트 15년
The Glen Grant 18 Year Old,글렌그란트 18년
The Glenlee (Unspecified),글렌리
The Glenlivet (Unspecified),글렌리벳
The Glenlivet 12 Year Old,글렌리벳 12년
The Glenlivet 12 Year Old 200th Anniversary Edition,글렌리벳 12년 200주년 에디션
The Glenlivet 13 Year Old Cask Strength Batch 4,글렌리벳 13년 캐스크 스트렝스 배치 4
The Glenlivet 15 Year Old,글렌리벳 15년
The Glenlivet 18 Year Old,글렌리벳 18년
The Glenturret 12 Year Old (2024 Release),글렌터렛 12년 (2024 릴리즈)
The Glenturret 12 Year Old (2025 Release),글렌터렛 12년 (2025 릴리즈)
The Lakes (Unspecified),레이크스
The Singleton 12 Year Old,싱글톤 12년
The Singleton 15 Year Old,싱글톤 15년
The Singleton of Dufftown 15 Year Old,싱글톤 오브 더프타운 15년
The Singleton of Glen Ord 14 Year Old,싱글톤 오브 글렌오드 14년
The Talisman,탈리스만
The Whistler P.X. I Love You,휘슬러 PX 아이 러브 유
Togouchi Single Malt,토구치 싱글몰트
Tomatin (Unspecified),토마틴
Tomintoul 10 Year Old,토민툴 10년
Town Branch (Unspecified),타운 브랜치
Tsunuki 2026 Edition,츠누키 2026 에디션
Tullamore D.E.W. (Unspecified),툴라모어 듀
Virginia-Highland Whisky,버지니아 하이랜드 위스키
Whisky Navis (Unspecified),위스키 네이비스
White & Mackay (Unspecified),화이트 앤 맥케이
White Heather (Unspecified),화이트 헤더
White Horse,화이트 호스
White Oak Akashi Red,화이트 오크 아카시 레드
Widow Jane (Unspecified),위도우 제인
Wilderness Trail (Unspecified),윌더니스 트레일
Willett (Unspecified),윌렛
Willett Family Estate Single Barrel Bourbon 1966 36 Year Old,윌렛 패밀리 에스테이트 싱글 배럴 버번 1966 36년
Willett Family Estate Small Batch Rye,윌렛 패밀리 에스테이트 스몰 배치 라이
Woodford Reserve Double Oaked,우드포드 리저브 더블 오크드
Woodford Reserve Straight Bourbon,우드포드 리저브 스트레이트 버번
Yamazaki (Unspecified),야마자키
Yamazaki 12 Year Old,야마자키 12년
Yamazaki 18 Year Old,야마자키 18년
Yamazaki 18 Year Old Mizunara,야마자키 18년 미즈나라
Yamazaki 25 Year Old,야마자키 25년
Yamazaki Distillery Exclusive,야마자키 증류소 익스클루시브
Yamazaki Kogei (Unspecified),야마자키 코게이
Yamazaki Kogei 2024 Edition,야마자키 코게이 2024 에디션
Yamazaki Owner's Cask (Unspecified),야마자키 오너스 캐스크
Yeongdong 19po,영동 19포
anCnoc (Unspecified),안노크
Jack Daniel's (Unspecified),잭다니엘
Jack Daniel's Single Barrel 100 Proof,잭다니엘 싱글배럴 100프루프
Jack Daniel's Single Barrel Barrel Proof,잭다니엘 싱글배럴 배럴프루프
Jack Daniel's Single Barrel Select,잭다니엘 싱글배럴 셀렉트
Jameson (Unspecified),제임슨
Jameson Standard,제임슨 스탠다드
Jim Beam (Unspecified),짐빔
Jim Beam Black Extra Aged,짐빔 블랙
Jim Beam Rye,짐빔 라이
Jim Beam White Label,짐빔 화이트
John Barr Finest,존바 파이니스트
John Barr Reserve,존바 리저브
Johnnie Walker (Unspecified),조니워커
Johnnie Walker 15 Year Old Sherry Finish,조니워커 15년 셰리 피니시
Johnnie Walker 18 Year Old,조니워커 18년
Johnnie Walker Blonde,조니워커 블론드
Johnnie Walker Double Black,조니워커 더블블랙
Johnnie Walker Gold Label,조니워커 골드라벨
Johnnie Walker Green 15,조니워커 그린 15년
Johnnie Walker Green Label,조니워커 그린라벨
Johnnie Walker Red Label,조니워커 레드라벨
Johnnie Walker Swing,조니워커 스윙
Johnnie Walker XR 21,조니워커 XR 21년
